filename,sample_name,description,ingredients_1,ingredients_2,ingredients_3,ingredients_4,ingredients_5,ingredients_6,ingredients_7
18NAVY28_v1_sup_4_rerun_GH12_01_39672.mzXML,18NAVY28_v1_sup_4,Chicken Breast,,,,,,,
18NAVY28_v1_sup_5_BA2_01_39725.mzXML,18NAVY28_v1_sup_5,"Pound Cake Sara Lee,All Butter 8/14",,,,,,,
18NAVY28_v1_sup_6_BB2_01_39726.mzXML,18NAVY28_v1_sup_6,"Butter, without salt 7/14",,,,,,,
18NAVY28_v2_brk_1_BD5_01_39775.mzXML,18NAVY28_v2_brk_1,"Black Beans, reduced sodium (Drained 9/14),Cantaloupe,Chicken Breast,Picante Sauce SS packet 8/14",,,,,,,
18NAVY28_v2_brk_2_BE5_01_39773.mzXML,18NAVY28_v2_brk_2,"Tortilla, Flour,Picante Sauce SS packet 8/14",,,,,,,
18NAVY28_v2_brk_3_BF5_01_39774.mzXML,18NAVY28_v2_brk_3,"Cheese Cheddar Shredded,Picante Sauce SS packet 8/14",,,,,,,
18NAVY28_v2_lun_1_BF6_01_39697.mzXML,18NAVY28_v2_lun_1,Pretzels Rold Gold-09/07,,,,,,,
18NAVY28_v2_lun_2_BG6_01_39701.mzXML,18NAVY28_v2_lun_2,"Ham , HORMEL 9/08",,,,,,,
18NAVY28_v2_lun_3_BH6_01_39703.mzXML,18NAVY28_v2_lun_3,"Peanut Butter Smooth, 3/16",,,,,,,
18NAVY28_v2_lun_4_BA7_01_39698.mzXML,18NAVY28_v2_lun_4,Apple Raw With Skin,,,,,,,
